FeatureCode,DateCode,variable,value
S12000047,2010,Killed_Injured,132
S12000048,2010,Killed_Injured,99
S92000003,2010,Killed_Injured,2176
S12000005,2011,Killed_Injured,12
S12000006,2011,Killed_Injured,93
S12000008,2011,Killed_Injured,47
S12000010,2011,Killed_Injured,30
S12000011,2011,Killed_Injured,14
S12000013,2011,Killed_Injured,6
S12000014,2011,Killed_Injured,44
S12000017,2011,Killed_Injured,118
S12000018,2011,Killed_Injured,27
S12000019,2011,Killed_Injured,30
S12000020,2011,Killed_Injured,28
S12000021,2011,Killed_Injured,43
S12000023,2011,Killed_Injured,1
S12000026,2011,Killed_Injured,69
S12000027,2011,Killed_Injured,5
S12000028,2011,Killed_Injured,41
S12000029,2011,Killed_Injured,90
S12000030,2011,Killed_Injured,63
S12000033,2011,Killed_Injured,106
S12000034,2011,Killed_Injured,202
S12000035,2011,Killed_Injured,63
S12000036,2011,Killed_Injured,176
S12000038,2011,Killed_Injured,59
S12000039,2011,Killed_Injured,26
S12000040,2011,Killed_Injured,66
S12000041,2011,Killed_Injured,62
S12000042,2011,Killed_Injured,54
S12000045,2011,Killed_Injured,16
S12000047,2011,Killed_Injured,101
S12000048,2011,Killed_Injured,108
S92000003,2011,Killed_Injured,2060
S12000005,2012,Killed_Injured,19
S12000006,2012,Killed_Injured,90
S12000008,2012,Killed_Injured,46
S12000010,2012,Killed_Injured,24
S12000011,2012,Killed_Injured,14
S12000013,2012,Killed_Injured,10
S12000014,2012,Killed_Injured,74
S12000017,2012,Killed_Injured,117
S12000018,2012,Killed_Injured,26
S12000019,2012,Killed_Injured,27
S12000020,2012,Killed_Injured,47
S12000021,2012,Killed_Injured,38
S12000023,2012,Killed_Injured,16
S12000026,2012,Killed_Injured,79
S12000027,2012,Killed_Injured,7
S12000028,2012,Killed_Injured,34
S12000029,2012,Killed_Injured,81
S12000030,2012,Killed_Injured,59
S12000033,2012,Killed_Injured,117
S12000034,2012,Killed_Injured,219
S12000035,2012,Killed_Injured,67
S12000036,2012,Killed_Injured,200
S12000038,2012,Killed_Injured,54
S12000039,2012,Killed_Injured,22
S12000040,2012,Killed_Injured,63
S12000041,2012,Killed_Injured,50
S12000042,2012,Killed_Injured,49
S12000045,2012,Killed_Injured,26
S12000047,2012,Killed_Injured,107
S12000048,2012,Killed_Injured,100
S92000003,2012,Killed_Injured,2156
S12000005,2014,Killed_Injured,7
S12000006,2014,Killed_Injured,84
S12000008,2014,Killed_Injured,26
S12000010,2014,Killed_Injured,40
S12000011,2014,Killed_Injured,13
S12000013,2014,Killed_Injured,10
S12000014,2014,Killed_Injured,46
S12000017,2014,Killed_Injured,89
S12000018,2014,Killed_Injured,16
S12000019,2014,Killed_Injured,35
S12000020,2014,Killed_Injured,49
S12000021,2014,Killed_Injured,49
S12000023,2014,Killed_Injured,7
S12000026,2014,Killed_Injured,68
S12000027,2014,Killed_Injured,2
S12000028,2014,Killed_Injured,40
S12000029,2014,Killed_Injured,96
S12000030,2014,Killed_Injured,64
S12000033,2014,Killed_Injured,94
S12000034,2014,Killed_Injured,201
S12000035,2014,Killed_Injured,59
S12000036,2014,Killed_Injured,163
S12000038,2014,Killed_Injured,46
S12000039,2014,Killed_Injured,16
S12000040,2014,Killed_Injured,38
S12000041,2014,Killed_Injured,43
S12000042,2014,Killed_Injured,43
S12000045,2014,Killed_Injured,16
S12000047,2014,Killed_Injured,93
S12000048,2014,Killed_Injured,87
S92000003,2014,Killed_Injured,1903
S12000005,2015,Killed_Injured,10
S12000006,2015,Killed_Injured,71
S12000008,2015,Killed_Injured,32
S12000010,2015,Killed_Injured,30
S12000011,2015,Killed_Injured,15
S12000013,2015,Killed_Injured,5
S12000014,2015,Killed_Injured,50
S12000017,2015,Killed_Injured,75
S12000018,2015,Killed_Injured,18
S12000019,2015,Killed_Injured,41
S12000020,2015,Killed_Injured,37
S12000021,2015,Killed_Injured,60
S12000023,2015,Killed_Injured,1
S12000026,2015,Killed_Injured,67
S12000027,2015,Killed_Injured,6
S12000028,2015,Killed_Injured,51
S12000029,2015,Killed_Injured,75
S12000030,2015,Killed_Injured,70
S12000033,2015,Killed_Injured,79
S12000034,2015,Killed_Injured,173
S12000035,2015,Killed_Injured,57
S12000036,2015,Killed_Injured,151
S12000038,2015,Killed_Injured,46
S12000039,2015,Killed_Injured,15
S12000040,2015,Killed_Injured,59
S12000041,2015,Killed_Injured,43
S12000042,2015,Killed_Injured,22
S12000045,2015,Killed_Injured,12
S12000047,2015,Killed_Injured,83
S12000048,2015,Killed_Injured,59
S92000003,2015,Killed_Injured,1767
S12000005,2016,Killed_Injured,14
S12000006,2016,Killed_Injured,71
S12000008,2016,Killed_Injured,43
S12000010,2016,Killed_Injured,33
S12000011,2016,Killed_Injured,17
S12000013,2016,Killed_Injured,5
S12000014,2016,Killed_Injured,52
S12000017,2016,Killed_Injured,101
S12000018,2016,Killed_Injured,18
S12000019,2016,Killed_Injured,44
S12000020,2016,Killed_Injured,53
S12000021,2016,Killed_Injured,41
S12000023,2016,Killed_Injured,7
S12000026,2016,Killed_Injured,81
S12000027,2016,Killed_Injured,5
S12000028,2016,Killed_Injured,56
S12000029,2016,Killed_Injured,101
S12000030,2016,Killed_Injured,40
S12000033,2016,Killed_Injured,67
S12000034,2016,Killed_Injured,159
S12000035,2016,Killed_Injured,71
S12000036,2016,Killed_Injured,177
S12000038,2016,Killed_Injured,54
S12000039,2016,Killed_Injured,28
S12000040,2016,Killed_Injured,49
S12000041,2016,Killed_Injured,45
S12000042,2016,Killed_Injured,30
S12000045,2016,Killed_Injured,14
S12000047,2016,Killed_Injured,97
